,Close,30 days,Percent,Impl. Rate,Previous Impl. Rate,Effective Annual Rate,Impl. Rate 30d
Spot,96.8,95.97303571428576,-0.17303571428575992,,,,
DLR/AGO21,98.65,99.80819642857168,-2.158196428571671,0.26829704386522535,0.2653654059500679,0.3044290809019876,0.2687302760528878
DLR/SEP21,101.03,102.4618214285716,-2.4318214285715953,0.28481958382526645,0.2904190292787326,0.3215060882084513,0.2820353606094894
DLR/OCT21,103.65,105.61184183673446,-2.9618418367344503,0.3038709285367048,0.32162167506901057,0.341248690418237,0.2972222433790419
DLR/NOV21,107.345,109.155164102564,-2.810164102564002,0.3398429222292862,0.3434181420231756,0.3806792946323514,0.32695035841643616
DLR/DIC21,111.73,113.22935714285772,-2.4993571428577184,0.3803781829350014,0.370823298230842,0.4243986772587065,0.35901547961122926
DLR/ENE22,116.6,118.0084464285715,-2.4084464285715086,0.41708989334687663,0.4029291500006164,0.461527763615623,0.38554633938344196
DLR/FEB22,120.55,122.7423214285714,-3.192321428571404,0.4326241665668544,0.4313925806987181,0.4724030387919893,0.393200374555855
DLR/MAR22,125.45,126.58321428571429,-2.1332142857142884,0.4539052191124385,0.4360268597133417,0.48825612558200504,0.40426548110848426
DLR/ABR22,130.1,131.5,-2.4000000000000057,0.4702734701457889,0.4565006494977969,0.4980652877453471,0.41105807441859277
DLR/MAY22,134.55,134.0,-0.44999999999998863,0.4760617347079799,0.4409500819356009,0.494773549197411,0.40878318688981885
DLR/JUN22,137.5,,,0.46646172975960204,,0.47606784784255196,0.39576800157369707
